Time,x,y,Velocity in y,Velocity
0.00,0.00,150.00,90.00,180.00
1.00,155.23,234.76,80.23,175.32
1.99,310.46,309.80,70.47,171.07
2.99,465.69,375.11,60.70,167.29
3.98,620.92,430.69,50.94,164.00
4.98,776.15,476.55,41.17,161.23
5.97,931.38,512.69,31.41,159.02
6.97,1086.61,539.11,21.64,157.38
7.97,1241.84,555.79,11.88,156.34
8.96,1397.07,562.76,2.11,155.90
9.96,1552.30,560.00,-7.65,156.07
10.95,1707.53,547.51,-17.42,156.86
11.95,1862.76,525.30,-27.19,158.24
12.95,2017.99,493.37,-36.95,160.20
13.94,2173.22,451.71,-46.72,162.73
14.94,2328.44,400.33,-56.48,165.80
15.93,2483.67,339.22,-66.25,169.38
16.93,2638.90,268.39,-76.01,173.43
17.92,2794.13,187.84,-85.78,177.93
18.92,2949.36,97.56,-95.54,182.84
,,,,
